metodo,consulta,repeticao,tempo_ms,tamanho_bytes
GraphQL,simples,1,299.32,3421
REST,simples,1,41.3,19496
REST,simples,2,115.34,19496
GraphQL,simples,2,293.01,3421
GraphQL,simples,3,278.75,3421
REST,simples,3,40.88,19496
REST,simples,4,51.25,19496
GraphQL,simples,4,348.63,3421
GraphQL,simples,5,295.45,3421
REST,simples,5,42.72,19496
REST,simples,6,111.38,19496
GraphQL,simples,6,278.36,3421
GraphQL,simples,7,270.21,3421
REST,simples,7,40.3,19496
REST,simples,8,44.35,19496
GraphQL,simples,8,363.25,3421
GraphQL,simples,9,326.17,3421
REST,simples,9,43.57,19496
REST,simples,10,71.38,19496
GraphQL,simples,10,278.68,3421
GraphQL,simples,11,278.32,3421
REST,simples,11,39.11,19496
REST,simples,12,40.04,19496
GraphQL,simples,12,397.35,3421
GraphQL,simples,13,325.51,3421
REST,simples,13,43.28,19496
REST,simples,14,46.76,19496
GraphQL,simples,14,289.45,3421
GraphQL,simples,15,293.21,3421
REST,simples,15,118.34,19496
REST,simples,16,42.24,19496
GraphQL,simples,16,502.27,3421
GraphQL,simples,17,320.43,3421
REST,simples,17,43.39,19496
REST,simples,18,45.09,19496
GraphQL,simples,18,364.63,3421
GraphQL,simples,19,329.14,3421
REST,simples,19,84.67,19496
REST,simples,20,191.82,19496
GraphQL,simples,20,323.91,3421
GraphQL,simples,21,363.4,3421
REST,simples,21,39.72,19496
REST,simples,22,36.74,19496
GraphQL,simples,22,344.44,3421
GraphQL,simples,23,281.89,3421
REST,simples,23,38.42,19496
REST,simples,24,43.2,19496
GraphQL,simples,24,347.25,3421
GraphQL,simples,25,275.03,3421
REST,simples,25,36.7,19496
REST,simples,26,36.0,19496
GraphQL,simples,26,273.78,3421
GraphQL,simples,27,369.41,3421
REST,simples,27,44.16,19496
REST,simples,28,36.68,19496
GraphQL,simples,28,369.6,3421
GraphQL,simples,29,281.67,3421
REST,simples,29,38.79,19496
REST,simples,30,37.5,19496
GraphQL,simples,30,272.97,3421
GraphQL,filtrada,1,344.24,3369
REST,filtrada,1,94.98,11751
REST,filtrada,2,37.9,11751
GraphQL,filtrada,2,319.26,3369
GraphQL,filtrada,3,338.6,3369
REST,filtrada,3,37.5,11751
REST,filtrada,4,36.36,11751
GraphQL,filtrada,4,358.15,3369
GraphQL,filtrada,5,330.22,3369
REST,filtrada,5,42.57,11751
REST,filtrada,6,42.69,11751
GraphQL,filtrada,6,346.46,3369
GraphQL,filtrada,7,286.46,3369
REST,filtrada,7,36.97,11751
REST,filtrada,8,41.64,11751
GraphQL,filtrada,8,334.74,3369
GraphQL,filtrada,9,322.72,3369
REST,filtrada,9,39.21,11751
REST,filtrada,10,42.39,11751
GraphQL,filtrada,10,369.74,3369
GraphQL,filtrada,11,320.26,3369
REST,filtrada,11,40.29,11751
REST,filtrada,12,40.53,11751
GraphQL,filtrada,12,296.69,3369
GraphQL,filtrada,13,274.83,3369
REST,filtrada,13,49.92,11751
REST,filtrada,14,39.65,11751
GraphQL,filtrada,14,392.91,3369
GraphQL,filtrada,15,286.64,3369
REST,filtrada,15,42.36,11751
REST,filtrada,16,42.14,11751
GraphQL,filtrada,16,277.61,3369
GraphQL,filtrada,17,296.83,3369
REST,filtrada,17,40.79,11751
REST,filtrada,18,39.49,11751
GraphQL,filtrada,18,325.22,3369
GraphQL,filtrada,19,321.33,3369
REST,filtrada,19,40.11,11751
REST,filtrada,20,45.15,11751
GraphQL,filtrada,20,374.39,3369
GraphQL,filtrada,21,321.72,3369
REST,filtrada,21,38.97,11751
REST,filtrada,22,43.04,11751
GraphQL,filtrada,22,279.66,3369
GraphQL,filtrada,23,313.07,3369
REST,filtrada,23,35.91,11751
REST,filtrada,24,38.24,11751
GraphQL,filtrada,24,381.23,3369
GraphQL,filtrada,25,321.27,3369
REST,filtrada,25,44.08,11751
REST,filtrada,26,35.23,11751
GraphQL,filtrada,26,374.97,3369
GraphQL,filtrada,27,323.05,3369
REST,filtrada,27,39.67,11751
REST,filtrada,28,35.73,11751
GraphQL,filtrada,28,480.94,3369
GraphQL,filtrada,29,294.92,3369
REST,filtrada,29,42.89,11751
REST,filtrada,30,41.52,11751
GraphQL,filtrada,30,400.58,3369
GraphQL,por_id,1,3393.67,182
REST,por_id,1,33.57,2719
REST,por_id,2,36.17,2719
GraphQL,por_id,2,268.16,182
GraphQL,por_id,3,280.73,182
REST,por_id,3,41.29,2719
REST,por_id,4,40.07,2719
GraphQL,por_id,4,478.4,182
GraphQL,por_id,5,568.22,182
REST,por_id,5,291.12,2719
REST,por_id,6,142.82,2719
GraphQL,por_id,6,432.42,182
GraphQL,por_id,7,717.0,182
REST,por_id,7,143.96,2719
REST,por_id,8,147.78,2719
GraphQL,por_id,8,415.01,182
GraphQL,por_id,9,391.97,182
REST,por_id,9,128.11,2719
REST,por_id,10,48.92,2719
GraphQL,por_id,10,400.57,182
GraphQL,por_id,11,309.91,182
REST,por_id,11,143.13,2719
REST,por_id,12,103.34,2719
GraphQL,por_id,12,417.39,182
GraphQL,por_id,13,301.08,182
REST,por_id,13,36.46,2719
REST,por_id,14,35.95,2719
GraphQL,por_id,14,451.97,182
GraphQL,por_id,15,273.27,182
REST,por_id,15,112.59,2719
REST,por_id,16,42.05,2719
GraphQL,por_id,16,325.53,182
GraphQL,por_id,17,356.22,182
REST,por_id,17,39.23,2719
REST,por_id,18,39.32,2719
GraphQL,por_id,18,300.37,182
GraphQL,por_id,19,341.83,182
REST,por_id,19,37.09,2719
REST,por_id,20,39.43,2719
GraphQL,por_id,20,369.37,182
GraphQL,por_id,21,296.66,182
